[INFO] 11:21:03 - root - Logging initialized. Logs stored in C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\loggers
[INFO] 11:21:03 - root - Test the custom logger
[INFO] 11:21:03 - __main__ - Game starting up...
[INFO] 11:21:15 - src.game - [CONFIG] Game, image, and sound configs loaded
[INFO] 11:21:23 - src.game - [INFO] effects, pickups, mobs, player, weapons images loaded
[WARNING] 11:21:23 - loggers.logging_fnc - [IMAGES] 'harpoon' height doesn't fit tile size.
[INFO] 11:21:23 - src.game - [OK] Loaded mesh: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\test_anti_g.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\level1_anti_g.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\test_waterflow.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\level1_waterflow.npy
[INFO] 11:21:23 - src.game - [INFO] music, ambient sounds loaded
[WARNING] 11:21:35 - loggers.logging_fnc - [PERF] Critical low FPS: 8.2
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.2
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.2
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.2
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.2
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.2
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.2
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:36 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -34.63154382903747.
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.348402691161915.
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.1
[WARNING] 11:21:37 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.08375429225307.
[WARNING] 11:21:37 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.06064364298108.
[WARNING] 11:21:38 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.105931402922764.
[WARNING] 11:21:38 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.200120196003994.
[WARNING] 11:21:38 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.36574762565973.
[WARNING] 11:21:38 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.14275307002431.
[WARNING] 11:21:38 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.12059772908711.
[WARNING] 11:21:38 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -34.543829599231536.
[WARNING] 11:21:38 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:38 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -34.70996915556642.
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
